plannerId,checkDate,processDate,periodStartDate,periodEndDate,payGroup,runType
33e03592-b1cb-0000-0000-0000fd700200,2025-04-04T00:00:00,2025-04-02T12:00:00,2025-03-24T00:00:00,2025-03-30T00:00:00,3c4558ac-eae5-0000-0000-0000fd700200,R
d67d6519-84e8-0000-0000-0000fd700200,2025-04-11T00:00:00,2025-04-09T12:00:00,2025-03-31T00:00:00,2025-04-06T00:00:00,3c4558ac-eae5-0000-0000-0000fd700200,R
e95bcde0-b619-0000-0000-0000fd700200,2025-04-15T00:00:00,2025-04-11T00:00:00,2025-04-01T00:00:00,2025-04-15T00:00:00,ed18c0bf-38dc-0000-0000-0000fd700200,R
dccda9b5-82c8-0000-0000-0000fd700200,2025-04-18T00:00:00,2025-04-16T12:00:00,2025-04-07T00:00:00,2025-04-13T00:00:00,3c4558ac-eae5-0000-0000-0000fd700200,R
b1bc472b-6442-0000-0000-0000fd700200,2025-04-25T00:00:00,2025-04-23T12:00:00,2025-04-14T00:00:00,2025-04-20T00:00:00,3c4558ac-eae5-0000-0000-0000fd700200,R
8d3fd4c1-95cd-0000-0000-0000fd700200,2025-04-30T00:00:00,2025-04-28T00:00:00,2025-04-16T00:00:00,2025-04-30T00:00:00,ed18c0bf-38dc-0000-0000-0000fd700200,R
a5d92705-7e92-0000-0000-0000fd700200,2025-05-02T00:00:00,2025-04-30T12:00:00,2025-04-21T00:00:00,2025-04-27T00:00:00,3c4558ac-eae5-0000-0000-0000fd700200,R
43572371-3b1a-0000-0000-0000fd700200,2025-05-09T00:00:00,2025-05-07T12:00:00,2025-04-28T00:00:00,2025-05-04T00:00:00,3c4558ac-eae5-0000-0000-0000fd700200,R
adadcc8f-23a6-0000-0000-0000fd700200,2025-05-15T00:00:00,2025-05-13T00:00:00,2025-05-01T00:00:00,2025-05-15T00:00:00,ed18c0bf-38dc-0000-0000-0000fd700200,R
1412e171-7a6d-0000-0000-0000fd700200,2025-05-16T00:00:00,2025-05-14T12:00:00,2025-05-05T00:00:00,2025-05-11T00:00:00,3c4558ac-eae5-0000-0000-0000fd700200,R
9310caac-7111-0000-0000-0000fd700200,2025-05-23T00:00:00,2025-05-21T12:00:00,2025-05-12T00:00:00,2025-05-18T00:00:00,3c4558ac-eae5-0000-0000-0000fd700200,R
7dcf408a-b724-0000-0000-0000fd700200,2025-05-30T00:00:00,2025-05-28T12:00:00,2025-05-19T00:00:00,2025-05-25T00:00:00,3c4558ac-eae5-0000-0000-0000fd700200,R
190f4173-fbba-0000-0000-0000fd700200,2025-05-30T00:00:00,2025-05-28T00:00:00,2025-05-16T00:00:00,2025-05-31T00:00:00,ed18c0bf-38dc-0000-0000-0000fd700200,R
de3f5603-23ea-0000-0000-0000fd700200,2025-06-06T00:00:00,2025-06-04T12:00:00,2025-05-26T00:00:00,2025-06-01T00:00:00,3c4558ac-eae5-0000-0000-0000fd700200,R
b0d7288a-d0c3-0000-0000-0000fd700200,2025-06-13T00:00:00,2025-06-11T00:00:00,2025-06-01T00:00:00,2025-06-15T00:00:00,ed18c0bf-38dc-0000-0000-0000fd700200,R
1825a0ba-fd0c-0000-0000-0000fd700200,2025-06-13T00:00:00,2025-06-11T12:00:00,2025-06-02T00:00:00,2025-06-08T00:00:00,3c4558ac-eae5-0000-0000-0000fd700200,R
20126b43-bc9c-0000-0000-0000fd700200,2025-06-20T00:00:00,2025-06-17T12:00:00,2025-06-09T00:00:00,2025-06-15T00:00:00,3c4558ac-eae5-0000-0000-0000fd700200,R
01b024a4-90cf-0000-0000-0000fd700200,2025-06-27T00:00:00,2025-06-25T12:00:00,2025-06-16T00:00:00,2025-06-22T00:00:00,3c4558ac-eae5-0000-0000-0000fd700200,R
7ded2f09-0e19-0000-0000-0000fd700200,2025-06-30T00:00:00,2025-06-26T00:00:00,2025-06-16T00:00:00,2025-06-30T00:00:00,ed18c0bf-38dc-0000-0000-0000fd700200,R
7459569c-606e-0000-0000-0000fd700200,2025-07-03T00:00:00,2025-07-01T12:00:00,2025-06-23T00:00:00,2025-06-29T00:00:00,3c4558ac-eae5-0000-0000-0000fd700200,R
0b11c0c3-38ec-0000-0000-0000fd700200,2025-07-11T00:00:00,2025-07-09T12:00:00,2025-06-30T00:00:00,2025-07-06T00:00:00,3c4558ac-eae5-0000-0000-0000fd700200,R
18836666-1bf3-0000-0000-0000fd700200,2025-07-15T00:00:00,2025-07-11T00:00:00,2025-07-01T00:00:00,2025-07-15T00:00:00,ed18c0bf-38dc-0000-0000-0000fd700200,R
42db8535-aa9f-0000-0000-0000fd700200,2025-07-18T00:00:00,2025-07-16T12:00:00,2025-07-07T00:00:00,2025-07-13T00:00:00,3c4558ac-eae5-0000-0000-0000fd700200,R
f5b429f6-661c-0000-0000-0000fd700200,2025-07-25T00:00:00,2025-07-23T12:00:00,2025-07-14T00:00:00,2025-07-20T00:00:00,3c4558ac-eae5-0000-0000-0000fd700200,R
5057aad0-036c-0000-0000-0000fd700200,2025-07-31T00:00:00,2025-07-29T00:00:00,2025-07-16T00:00:00,2025-07-31T00:00:00,ed18c0bf-38dc-0000-0000-0000fd700200,R
671de809-91d0-0000-0000-0000fd700200,2025-08-01T00:00:00,2025-07-30T12:00:00,2025-07-21T00:00:00,2025-07-27T00:00:00,3c4558ac-eae5-0000-0000-0000fd700200,R
8734f433-cb1d-0000-0000-0000fd700200,2025-08-08T00:00:00,2025-08-06T12:00:00,2025-07-28T00:00:00,2025-08-03T00:00:00,3c4558ac-eae5-0000-0000-0000fd700200,R
3033dda9-d8ee-0000-0000-0000fd700200,2025-08-15T00:00:00,2025-08-13T00:00:00,2025-08-01T00:00:00,2025-08-15T00:00:00,ed18c0bf-38dc-0000-0000-0000fd700200,R
eaae248f-2c72-0000-0000-0000fd700200,2025-08-15T00:00:00,2025-08-13T12:00:00,2025-08-04T00:00:00,2025-08-10T00:00:00,3c4558ac-eae5-0000-0000-0000fd700200,R
66d5c9a8-9f81-0000-0000-0000fd700200,2025-08-22T00:00:00,2025-08-20T12:00:00,2025-08-11T00:00:00,2025-08-17T00:00:00,3c4558ac-eae5-0000-0000-0000fd700200,R
c4ca65ed-0882-0000-0000-0000fd700200,2025-08-29T00:00:00,2025-08-27T12:00:00,2025-08-18T00:00:00,2025-08-24T00:00:00,3c4558ac-eae5-0000-0000-0000fd700200,R
8c189533-5c3f-0000-0000-0000fd700200,2025-08-29T00:00:00,2025-08-27T00:00:00,2025-08-16T00:00:00,2025-08-31T00:00:00,ed18c0bf-38dc-0000-0000-0000fd700200,R
4ccf011e-41f7-0000-0000-0000fd700200,2025-09-05T00:00:00,2025-09-03T12:00:00,2025-08-25T00:00:00,2025-08-31T00:00:00,3c4558ac-eae5-0000-0000-0000fd700200,R
29096723-edf1-0000-0000-0000fd700200,2025-09-12T00:00:00,2025-09-10T12:00:00,2025-09-01T00:00:00,2025-09-07T00:00:00,3c4558ac-eae5-0000-0000-0000fd700200,R
ba25a1cb-e306-0000-0000-0000fd700200,2025-09-15T00:00:00,2025-09-11T00:00:00,2025-09-01T00:00:00,2025-09-15T00:00:00,ed18c0bf-38dc-0000-0000-0000fd700200,R
4dc914ca-a3d1-0000-0000-0000fd700200,2025-09-19T00:00:00,2025-09-17T12:00:00,2025-09-08T00:00:00,2025-09-14T00:00:00,3c4558ac-eae5-0000-0000-0000fd700200,R
50e28e8c-af4d-0000-0000-0000fd700200,2025-09-26T00:00:00,2025-09-24T12:00:00,2025-09-15T00:00:00,2025-09-21T00:00:00,3c4558ac-eae5-0000-0000-0000fd700200,R
a34936cf-54d8-0000-0000-0000fd700200,2025-09-30T00:00:00,2025-09-26T00:00:00,2025-09-16T00:00:00,2025-09-30T00:00:00,ed18c0bf-38dc-0000-0000-0000fd700200,R
c81592e6-beea-0000-0000-0000fd700200,2025-10-03T00:00:00,2025-10-01T12:00:00,2025-09-22T00:00:00,2025-09-28T00:00:00,3c4558ac-eae5-0000-0000-0000fd700200,R
e81753dc-65f3-0000-0000-0000fd700200,2025-10-10T00:00:00,2025-10-08T12:00:00,2025-09-29T00:00:00,2025-10-05T00:00:00,3c4558ac-eae5-0000-0000-0000fd700200,R
0d353869-193a-0000-0000-0000fd700200,2025-10-15T00:00:00,2025-10-10T00:00:00,2025-10-01T00:00:00,2025-10-15T00:00:00,ed18c0bf-38dc-0000-0000-0000fd700200,R
8a102a5c-9003-0000-0000-0000fd700200,2025-10-17T00:00:00,2025-10-15T12:00:00,2025-10-06T00:00:00,2025-10-12T00:00:00,3c4558ac-eae5-0000-0000-0000fd700200,R
b2f58b66-fc69-0000-0000-0000fd700200,2025-10-24T00:00:00,2025-10-22T12:00:00,2025-10-13T00:00:00,2025-10-19T00:00:00,3c4558ac-eae5-0000-0000-0000fd700200,R
5e0b2e05-df4e-0000-0000-0000fd700200,2025-10-31T00:00:00,2025-10-29T12:00:00,2025-10-20T00:00:00,2025-10-26T00:00:00,3c4558ac-eae5-0000-0000-0000fd700200,R
4f059785-64c5-0000-0000-0000fd700200,2025-10-31T00:00:00,2025-10-29T00:00:00,2025-10-16T00:00:00,2025-10-31T00:00:00,ed18c0bf-38dc-0000-0000-0000fd700200,R
6151dba8-2060-0000-0000-0000fd700200,2025-11-07T00:00:00,2025-11-05T12:00:00,2025-10-27T00:00:00,2025-11-02T00:00:00,3c4558ac-eae5-0000-0000-0000fd700200,R
0ef5db52-d26f-0000-0000-0000fd700200,2025-11-14T00:00:00,2025-11-12T12:00:00,2025-11-03T00:00:00,2025-11-09T00:00:00,3c4558ac-eae5-0000-0000-0000fd700200,R
c812e960-ccc0-0000-0000-0000fd700200,2025-11-14T00:00:00,2025-11-12T00:00:00,2025-11-01T00:00:00,2025-11-15T00:00:00,ed18c0bf-38dc-0000-0000-0000fd700200,R
503d74bc-4567-0000-0000-0000fd700200,2025-11-21T00:00:00,2025-11-19T12:00:00,2025-11-10T00:00:00,2025-11-16T00:00:00,3c4558ac-eae5-0000-0000-0000fd700200,R
b93b662a-6c80-0000-0000-0000fd700200,2025-11-28T00:00:00,2025-11-24T00:00:00,2025-11-16T00:00:00,2025-11-30T00:00:00,ed18c0bf-38dc-0000-0000-0000fd700200,R
a769e63c-f0ce-0000-0000-0000fd700200,2025-11-28T00:00:00,2025-11-25T12:00:00,2025-11-17T00:00:00,2025-11-23T00:00:00,3c4558ac-eae5-0000-0000-0000fd700200,R
d6caff4c-0b17-0000-0000-0000fd700200,2025-12-05T00:00:00,2025-12-03T12:00:00,2025-11-24T00:00:00,2025-11-30T00:00:00,3c4558ac-eae5-0000-0000-0000fd700200,R
61455825-14f6-0000-0000-0000fd700200,2025-12-12T00:00:00,2025-12-10T12:00:00,2025-12-01T00:00:00,2025-12-07T00:00:00,3c4558ac-eae5-0000-0000-0000fd700200,R
0b022366-a8ed-0000-0000-0000fd700200,2025-12-15T00:00:00,2025-12-11T00:00:00,2025-12-01T00:00:00,2025-12-15T00:00:00,ed18c0bf-38dc-0000-0000-0000fd700200,R
708ee30d-b968-0000-0000-0000fd700200,2025-12-19T00:00:00,2025-12-17T12:00:00,2025-12-08T00:00:00,2025-12-14T00:00:00,3c4558ac-eae5-0000-0000-0000fd700200,R
646dc9f1-d38c-0000-0000-0000fd700200,2025-12-26T00:00:00,2025-12-23T12:00:00,2025-12-15T00:00:00,2025-12-21T00:00:00,3c4558ac-eae5-0000-0000-0000fd700200,R
14ea1e7c-fe7a-0000-0000-0000fd700200,2025-12-31T00:00:00,2025-12-29T00:00:00,2025-12-16T00:00:00,2025-12-31T00:00:00,ed18c0bf-38dc-0000-0000-0000fd700200,R
8f5c454f-e499-0000-0000-0000fd700200,2026-01-02T00:00:00,2025-12-30T12:00:00,2025-12-22T00:00:00,2025-12-28T00:00:00,3c4558ac-eae5-0000-0000-0000fd700200,R
1abc2a9a-3ac8-0000-0000-0000fd700200,2026-01-09T00:00:00,2026-01-07T12:00:00,2025-12-29T00:00:00,2026-01-04T00:00:00,3c4558ac-eae5-0000-0000-0000fd700200,R
919b18cb-b534-0000-0000-0000fd700200,2026-01-15T00:00:00,2026-01-13T00:00:00,2026-01-01T00:00:00,2026-01-15T00:00:00,ed18c0bf-38dc-0000-0000-0000fd700200,R
a971d2a3-8a49-0000-0000-0000fd700200,2026-01-16T00:00:00,2026-01-14T12:00:00,2026-01-05T00:00:00,2026-01-11T00:00:00,3c4558ac-eae5-0000-0000-0000fd700200,R
2d35e68c-2477-0000-0000-0000fd700200,2026-01-23T00:00:00,2026-01-21T12:00:00,2026-01-12T00:00:00,2026-01-18T00:00:00,3c4558ac-eae5-0000-0000-0000fd700200,R
16b920c3-1dd2-0000-0000-0000fd700200,2026-01-30T00:00:00,2026-01-28T12:00:00,2026-01-19T00:00:00,2026-01-25T00:00:00,3c4558ac-eae5-0000-0000-0000fd700200,R
5adb1a42-c742-0000-0000-0000fd700200,2026-01-30T00:00:00,2026-01-28T00:00:00,2026-01-16T00:00:00,2026-01-31T00:00:00,ed18c0bf-38dc-0000-0000-0000fd700200,R
5a9d66b0-b30b-0000-0000-0000fd700200,2026-02-06T00:00:00,2026-02-04T12:00:00,2026-01-26T00:00:00,2026-02-01T00:00:00,3c4558ac-eae5-0000-0000-0000fd700200,R
465da4ea-afef-0000-0000-0000fd700200,2026-02-13T00:00:00,2026-02-11T00:00:00,2026-02-01T00:00:00,2026-02-15T00:00:00,ed18c0bf-38dc-0000-0000-0000fd700200,R
